"rowid","term","contrast","lnex_ld_avg_before_year_prod_fac","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
20,"CoType","mean(Collaboration) / mean(Service)",2.58267199687661,1.07327841514881,0.00975222684524613,110.054701575363,0,Inf,1.05416440176306,1.09239242853456,0.246631397637799,0.264704155582633,0.246631397637799
21,"CoType","mean(Collaboration) / mean(Service)",2.71860210197538,1.07409749898959,0.0100802487550367,106.554662002058,0,Inf,1.05434057447452,1.09385442350467,0.245749241665172,0.263958645851151,0.245749241665172
22,"CoType","mean(Collaboration) / mean(Service)",2.85453220707415,1.07491864052708,0.010511631878067,102.259920533361,0,Inf,1.05431622062733,1.09552106042684,0.244869215426283,0.263214484152954,0.244869215426283
23,"CoType","mean(Collaboration) / mean(Service)",2.99046231217292,1.07574183819102,0.0110354331116357,97.4807084877136,0,Inf,1.05411278673841,1.09737088964362,0.243991321124293,0.262471672288902,0.243991321124293
24,"CoType","mean(Collaboration) / mean(Service)",3.12639241727169,1.07656709040215,0.0116402824197072,92.4863376664734,0,Inf,1.05375255608965,1.09938162471465,0.243115560903647,0.261730212033527,0.243115560903647
25,"CoType","mean(Collaboration) / mean(Service)",3.26232252237046,1.07739439557236,0.0123153129984172,87.4841261209386,0,Inf,1.05325682563713,1.1015319655076,0.242241936850271,0.260990105135076,0.242241936850271
26,"CoType","mean(Collaboration) / mean(Service)",3.39825262746923,1.07822375210474,0.0130505814111486,82.6188288579737,0,Inf,1.05264508256158,1.1038024216479,0.241370450991779,0.260251353315568,0.241370450991779
27,"CoType","mean(Collaboration) / mean(Service)",3.534182732568,1.0790551583937,0.0138374752729035,77.9806386000703,0,Inf,1.05193420522184,1.10617611156555,0.240501105297674,0.259513958270841,0.240501105297674
28,"CoType","mean(Collaboration) / mean(Service)",3.67011283766677,1.07988861282509,0.0146685748000603,73.6191911991786,0,Inf,1.05113873451244,1.10863849113774,0.239633901679562,0.258777921670606,0.239633901679562
29,"CoType","mean(Collaboration) / mean(Service)",3.80604294276553,1.08072411377629,0.0155376191583874,69.5553226501175,0,Inf,1.05027093982035,1.11117728773222,0.238768841991354,0.258043245158496,0.238768841991354
30,"CoType","mean(Collaboration) / mean(Service)",3.9419730478643,1.0815616596163,0.0164393878993365,65.7908716698601,0,Inf,1.04934105140572,1.11378226782688,0.237905928029486,0.257309930352127,0.237905928029486
31,"CoType","mean(Collaboration) / mean(Service)",4.07790315296307,1.08240124870588,0.0173696299916027,62.3157343725324,0,Inf,1.04835739949756,1.11644509791421,0.237045161533127,0.256577978843144,0.237045161533127
32,"CoType","mean(Collaboration) / mean(Service)",4.21383325806184,1.08324287939762,0.0183246544037434,59.1139595612967,0,Inf,1.04732721673714,1.1191585420581,0.236186544184398,0.255847392197281,0.236186544184398
33,"CoType","mean(Collaboration) / mean(Service)",4.34976336316061,1.08408655003605,0.0193015115130512,56.1658888374116,0,Inf,1.04625628262329,1.12191681744882,0.235330077608592,0.255118171954415,0.235330077608592
34,"CoType","mean(Collaboration) / mean(Service)",4.48569346825938,1.08493225895775,0.0202977286549826,53.4509194304077,0,Inf,1.04514944182602,1.12471507608949,0.234475763374393,0.254390319628624,0.234475763374393
35,"CoType","mean(Collaboration) / mean(Service)",4.62162357335815,1.08578000449145,0.0213111800481226,50.9488447866173,0,Inf,1.04401085912908,1.12754914985382,0.2336236029941,0.253663836708243,0.2336236029941
36,"CoType","mean(Collaboration) / mean(Service)",4.75755367845692,1.08662978495813,0.0223402024742478,48.6401045921906,0,Inf,1.04284379270127,1.13041577721499,0.23277359792385,0.252938724655923,0.23277359792385
37,"CoType","mean(Collaboration) / mean(Service)",4.89348378355569,1.08748159867112,0.0233833191349819,46.5067252597269,0,Inf,1.04165113532755,1.13331206201469,0.231925749563848,0.252214984908691,0.231925749563848
38,"CoType","mean(Collaboration) / mean(Service)",5.02941388865446,1.08833544393622,0.0244392221057372,44.5323275523048,0,Inf,1.0404354487988,1.13623543907364,0.231080059258592,0.251492618878007,0.231080059258592
39,"CoType","mean(Collaboration) / mean(Service)",5.16534399375323,1.08919131905177,0.02550690250757,42.7018262499147,0,Inf,1.03919870877976,1.13918392932378,0.230236528297108,0.250771627949826,0.230236528297108
40,"CoType","mean(Collaboration) / mean(Service)",5.301274098852,1.09004922230879,0.0265854774959409,41.001679299355,0,Inf,1.03794264390495,1.14215580071263,0.229395157913179,0.250052013484662,0.229395157913179
41,"CoType","mean(Collaboration) / mean(Service)",5.43720420395076,1.09090915199105,0.0276741641237737,39.4197688180183,0,Inf,1.03666878700621,1.1451495169759,0.228555949285582,0.249333776817645,0.228555949285582
42,"CoType","mean(Collaboration) / mean(Service)",5.57313430904953,1.0917711063752,0.0287723465048282,37.9451535588866,0,Inf,1.03537834347503,1.14816386927537,0.227718903538325,0.248616919258585,0.227718903538325
43,"CoType","mean(Collaboration) / mean(Service)",5.7090644141483,1.09263508373084,0.0298793770695996,36.5682015788249,9.16170289220964e-293,970.129316024001,1.03407258079393,1.15119758666774,0.226884021740883,0.247901442092039,0.226884021740883
44,"CoType","mean(Collaboration) / mean(Service)",5.84499451924707,1.09350108232064,0.0309948491457892,35.2800904813952,1.18630228909328e-272,903.317970130501,1.03275229428864,1.15424987035264,0.226051304908439,0.247187346577371,0.226051304908439
45,"CoType","mean(Collaboration) / mean(Service)",5.98092462434584,1.09436910040044,0.0321182682015338,34.0731042387952,1.8464007358925e-254,842.8850203973,1.03141845147964,1.15731974932125,0.225220754002127,0.246474633948817,0.225220754002127
46,"CoType","mean(Collaboration) / mean(Service)",6.11685472944461,1.09523913621937,0.0332492646841252,32.9402513596727,5.83436895180695e-238,788.074309961421,1.03007177492605,1.1604064975127,0.224392369929273,0.245763305415555,0.224392369929273
47,"CoType","mean(Collaboration) / mean(Service)",6.25278483454338,1.09611118801991,0.0343875300064989,31.875252099024,5.88275078568864e-223,738.233474240045,1.02871286768988,1.16350950834994,0.223566153543644,0.245053362161764,0.223566153543644
48,"CoType","mean(Collaboration) / mean(Service)",6.38871493964215,1.09698525403801,0.0355327695814279,30.8724950787786,2.79576219809261e-209,692.799730178264,1.02734230538745,1.16662820268857,0.22274210564569,0.244344805346698,0.22274210564569
49,"CoType","mean(Collaboration) / mean(Service)",6.52464504474092,1.09786133250321,0.0366847176809713,29.9269396605627,8.78232109017928e-197,651.285232411051,1.02596060706548,1.16976205794093,0.221920226982798,0.243637636104748,0.221920226982798
50,"CoType","mean(Collaboration) / mean(Service)",6.66057514983969,1.0987394216387,0.0378431664724156,29.0340244767729,2.44858673329368e-185,613.264748254388,1.02456817829182,1.17291066498559,0.221100518249536,0.242931855545514,0.221100518249536
51,"CoType","mean(Participation) / mean(Service)",0,1.14042063127021,0.0296390596376809,38.4769505244481,0,Inf,1.08232914184473,1.1985121206957,0.263793644392718,0.300835714463414,0.263793644392718
52,"CoType","mean(Participation) / mean(Service)",0.135930105098769,1.132435770812,0.0281581325658939,40.2170054481398,0,Inf,1.07724684511094,1.18762469651305,0.262871521556589,0.297685114138459,0.262871521556589
53,"CoType","mean(Participation) / mean(Service)",0.271860210197538,1.12445867468447,0.0267004941961695,42.1137776111196,0,Inf,1.07212666769056,1.17679068167838,0.261951475189563,0.294553608623298,0.261951475189563
54,"CoType","mean(Participation) / mean(Service)",0.407790315296307,1.11649027959782,0.0252687274669835,44.1846658505712,0,Inf,1.06696448382737,1.16601607536826,0.261033508645139,0.29144137505161,0.261033508645139
55,"CoType","mean(Participation) / mean(Service)",0.543720420395076,1.10853151078278,0.0238658685094364,46.4484043538777,0,Inf,1.06175526804452,1.15530775352104,0.260117625214782,0.288348584060571,0.260117625214782
56,"CoType","mean(Participation) / mean(Service)",0.679650525493846,1.10058328174157,0.0224955377648004,48.9245153082624,0,Inf,1.0564928379097,1.14467372557344,0.259203828128074,0.285275399801175,0.259203828128074
57,"CoType","mean(Participation) / mean(Service)",0.815580630592615,1.09264649400992,0.0211620534946753,51.6323472239993,0,Inf,1.05116963132145,1.1341233566984,0.258292120552867,0.282221979952479,0.258292120552867
58,"CoType","mean(Participation) / mean(Service)",0.951510735691384,1.08472203693025,0.0198706688293726,54.5891054923539,0,Inf,1.04577624167596,1.12366783218454,0.257382505595433,0.27918847573969,0.257382505595433
59,"CoType","mean(Participation) / mean(Service)",1.08744084079015,1.07681078743596,0.0186277086394935,57.8069374111298,0,Inf,1.04030114938805,1.11332042548387,0.25647498630063,0.276175031956009,0.25647498630063
60,"CoType","mean(Participation) / mean(Service)",1.22337094588892,1.06891360984692,0.0174408886408339,61.2877951266945,0,Inf,1.03473009625251,1.10309712344133,0.255569565652055,0.273181786988148,0.255569565652055
61,"CoType","mean(Participation) / mean(Service)",1.35930105098769,1.06103135567598,0.0163195175218472,65.0160983163598,0,Inf,1.02904568908808,1.09301702226387,0.254666246572213,0.270208872845427,0.254666246572213
62,"CoType","mean(Participation) / mean(Service)",1.49523115608646,1.05316486344657,0.0152748264913248,68.9477464143177,0,Inf,1.02322675365347,1.08310297323966,0.253765031922681,0.267256415192364,0.253765031922681
63,"CoType","mean(Participation) / mean(Service)",1.63116126118523,1.04531495852137,0.014320114038289,72.9962733345846,0,Inf,1.01724805075181,1.07338186629092,0.252865924504279,0.264324533384658,0.252865924504279
64,"CoType","mean(Participation) / mean(Service)",1.767091366284,1.03748245294186,0.0134706968797708,77.0177268631044,0,Inf,1.01108037221085,1.06388453367287,0.251968927057244,0.261413340508478,0.251968927057244
65,"CoType","mean(Participation) / mean(Service)",1.90302147138277,1.02966814527882,0.0127435782455048,80.7989816864845,0,Inf,1.00469119088346,1.05464509967418,0.251074042261399,0.258522943422951,0.251074042261399
66,"CoType","mean(Participation) / mean(Service)",2.03895157648154,1.02187282049358,0.0121563275451145,84.0609811393457,0,Inf,0.998046856320883,1.04569878466628,0.250181272736337,0.255653442805754,0.250181272736337
67,"CoType","mean(Participation) / mean(Service)",2.17488168158031,1.01409724981002,0.01172537907377,86.487374389335,0,Inf,0.991115929120352,1.03707857049969,0.249290621041597,0.252804933201716,0.249290621041597
68,"CoType","mean(Participation) / mean(Service)",2.31081178667907,1.00634219059717,0.0114635900630832,87.7859540562208,0,Inf,0.98387396694,1.02881041425435,0.248402089676852,0.249977503074319,0.248402089676852
69,"CoType","mean(Participation) / mean(Service)",2.44674189177784,0.998608386262305,0.0113777706799291,87.7683699517599,0,Inf,0.976308365505288,1.02090840701932,0.247515681082089,0.24717123486,0.247515681082089
70,"CoType","mean(Participation) / mean(Service)",2.58267199687661,0.990896566154372,0.0114669841943589,86.4130053167628,0,Inf,0.968421690122139,1.01337144218661,0.246631397637799,0.244386205025149,0.246631397637799
71,"CoType","mean(Participation) / mean(Service)",2.71860210197538,0.983207445477737,0.011722406257477,83.8741998768903,0,Inf,0.960231951400935,1.00618293955454,0.245749241665172,0.241622484125705,0.245749241665172
72,"CoType","mean(Participation) / mean(Service)",2.85453220707415,0.975541725215967,0.0121288438289387,80.4315513477368,0,Inf,0.951769628137137,0.999313822294798,0.244869215426283,0.238880136869236,0.244869215426283
73,"CoType","mean(Participation) / mean(Service)",2.99046231217292,0.967900092065597,0.0126672343556223,76.4097406657673,0,Inf,0.943072768944849,0.992727415186346,0.243991321124293,0.23615922217941,0.243991321124293
74,"CoType","mean(Participation) / mean(Service)",3.12639241727169,0.960283218379686,0.0133172509687559,72.1082166756971,0,Inf,0.934181886107844,0.986384550651529,0.243115560903647,0.233459793262737,0.243115560903647
75,"CoType","mean(Participation) / mean(Service)",3.26232252237046,0.952691762121018,0.0140592942112046,67.7624173595972,0,Inf,0.925136051819004,0.980247472423031,0.242241936850271,0.230781897677493,0.242241936850271
76,"CoType","mean(Participation) / mean(Service)",3.39825262746923,0.945126366824761,0.014875686975217,63.5349727645754,0,Inf,0.915970556108044,0.974282177541478,0.241370450991779,0.228125577404714,0.241370450991779
77,"CoType","mean(Participation) / mean(Service)",3.534182732568,0.937587661570431,0.0157511690710534,59.5249569946828,0,Inf,0.906715937476765,0.968459385664097,0.240501105297674,0.22549086892115,0.240501105297674
78,"CoType","mean(Participation) / mean(Service)",3.67011283766677,0.930076260962956,0.0166729355348927,55.7835936579084,0,Inf,0.897397907798008,0.962754614127903,0.239633901679562,0.222877803274091,0.239633901679562
79,"CoType","mean(Participation) / mean(Service)",3.80604294276553,0.922592765122669,0.0176304105798659,52.3296244828398,0,Inf,0.888037795353477,0.95714773489186,0.238768841991354,0.220286406157941,0.238768841991354
80,"CoType","mean(Participation) / mean(Service)",3.9419730478643,0.915137759684034,0.0186149599351619,49.1614144146196,0,Inf,0.878653108637461,0.951622410730608,0.237905928029486,0.217716697992455,0.237905928029486
81,"CoType","mean(Participation) / mean(Service)",4.07790315296307,0.907711815802912,0.0196195398374609,46.2657036466144,0,Inf,0.86925822432824,0.946165407277584,0.237045161533127,0.215168694002529,0.237045161533127
82,"CoType","mean(Participation) / mean(Service)",4.21383325806184,0.900315490172151,0.0206384132228041,43.6232902429417,0,Inf,0.859864943557399,0.940766036786902,0.236186544184398,0.212642404299442,0.236186544184398
83,"CoType","mean(Participation) / mean(Service)",4.34976336316061,0.892949325045321,0.0216669080954076,41.2125865450358,0,Inf,0.850482965521983,0.935415684568659,0.235330077608592,0.210137833963455,0.235330077608592
84,"CoType","mean(Participation) / mean(Service)",4.48569346825938,0.885613848268363,0.0227011780555982,39.0118013302824,0,Inf,0.84112035687276,0.930107339663967,0.234475763374393,0.207654983127658,0.234475763374393
85,"CoType","mean(Participation) / mean(Service)",4.62162357335815,0.878309573318955,0.0237380665681825,37.0000467728152,1.1431327860571e-299,993.063507374891,0.831783817782703,0.924835328855207,0.2336236029941,0.205193847062985,0.2336236029941
86,"CoType","mean(Participation) / mean(Service)",4.75755367845692,0.871036999353371,0.0247749645266284,35.157951423792,8.78755490142311e-271,897.107051916832,0.822478961162922,0.91959503754382,0.23277359792385,0.202754416264279,0.23277359792385
87,"CoType","mean(Participation) / mean(Service)",4.89348378355569,0.863796611260632,0.0258097004743993,33.4679052985305,1.41302977179346e-245,813.373591384587,0.813210527879043,0.914382694642221,0.231925749563848,0.200336676537334,0.231925749563848
88,"CoType","mean(Participation) / mean(Service)",5.02941388865446,0.856588879723712,0.0268404346129847,31.9141210667772,1.70079305820255e-223,740.023757546257,0.80398259455286,0.909195164894564,0.231080059258592,0.197940609086806,0.231080059258592
89,"CoType","mean(Participation) / mean(Service)",5.16534399375323,0.849414261287594,0.0278656503102219,30.4824847735926,4.44777089333211e-204,675.520248880913,0.794798590273772,0.904029932301417,0.230236528297108,0.195566190604908,0.230236528297108
90,"CoType","mean(Participation) / mean(Service)",5.301274098852,0.842273198433958,0.0288840446561552,29.1605004929415,6.148689055216e-187,618.580274893671,0.785661511180047,0.898884885687868,0.229395157913179,0.193213393360796,0.229395157913179
91,"CoType","mean(Participation) / mean(Service)",5.43720420395076,0.835166119662254,0.0298945203430215,27.9370971696226,9.45849116861291e-172,568.130022259384,0.776573936454832,0.893758302869676,0.228555949285582,0.190882185290563,0.228555949285582
92,"CoType","mean(Participation) / mean(Service)",5.57313430904953,0.828093439576981,0.0308961356337869,26.8024923696739,3.02216246526865e-158,523.269057773283,0.767538126473294,0.888648752680668,0.227718903538325,0.188572530087751,0.227718903538325
93,"CoType","mean(Participation) / mean(Service)",5.7090644141483,0.821055558980906,0.0318880778746816,25.7480417041005,3.39039053168777e-146,483.240050389728,0.758556074810322,0.883555043151491,0.226884021740883,0.186284387294297,0.226884021740883
94,"CoType","mean(Participation) / mean(Service)",5.84499451924707,0.814052864974028,0.0328696591802719,24.7660877926783,2.08036812385534e-135,447.403453972067,0.749629516796589,0.878476213151468,0.226051304908439,0.184017712391833,0.226051304908439
95,"CoType","mean(Participation) / mean(Service)",5.98092462434584,0.807085731058061,0.0338402809445724,23.8498531492691,1.01619901610936e-125,415.217828888498,0.740759999179982,0.87341146293614,0.225220754002127,0.181772456893254,0.225220754002127
96,"CoType","mean(Participation) / mean(Service)",6.11685472944461,0.800154517246202,0.0347994261219491,22.9933250750224,5.43619283831122e-117,386.222990468023,0.731948895364519,0.868360139127884,0.224392369929273,0.179548568434489,0.224392369929273
97,"CoType","mean(Participation) / mean(Service)",6.25278483454338,0.793259570177986,0.0357466486571328,22.1911591709367,4.1807751373827e-109,360.026391892478,0.723197426241999,0.863321714113973,0.223566153543644,0.177345990866376,0.223566153543644
98,"CoType","mean(Participation) / mean(Service)",6.38871493964215,0.786401223238986,0.0366815606651928,21.4385977307995,5.83453656792205e-102,336.292047610018,0.714506685438487,0.858295761039485,0.22274210564569,0.175164664346598,0.22274210564569
99,"CoType","mean(Participation) / mean(Service)",6.52464504474092,0.779579796685155,0.0376038191042496,20.7313995029046,1.80465067388774e-95,314.731449412546,0.705877665559666,0.853281927810643,0.221920226982798,0.173004525431573,0.221920226982798
100,"CoType","mean(Participation) / mean(Service)",6.66057514983969,0.772795597771593,0.0385131398080986,20.0657646097472,1.4701195488166e-89,295.095666966463,0.697311230816164,0.848279964727022,0.221100518249536,0.170865507168259,0.221100518249536
