"rowid","term","contrast","lnex_ld_avg_before_year_participation","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
12,"CoType","mean(Collaboration) / mean(Service)",1.44983104319985,1.00747717289845,0.0136058552369779,74.0473241373565,0,Inf,0.980810186655112,1.0341441591418,0.260257326839718,0.262203315870588,0.260257326839718
13,"CoType","mean(Collaboration) / mean(Service)",1.58163386530893,0.996249429339708,0.0146764499026683,67.8808183141471,0,Inf,0.967484116109571,1.02501474256984,0.263331638690945,0.262343994772944,0.263331638690945
14,"CoType","mean(Collaboration) / mean(Service)",1.71343668741801,0.985195074617406,0.0157839897990038,62.417366405013,0,Inf,0.954259023079011,1.0161311261558,0.26642918652682,0.262484722300545,0.26642918652682
15,"CoType","mean(Collaboration) / mean(Service)",1.84523950952708,0.97431146681493,0.0169123655653777,57.6094138367906,0,Inf,0.941163839413415,1.00745909421645,0.269549838410427,0.262625498441391,0.269549838410427
16,"CoType","mean(Collaboration) / mean(Service)",1.97704233163616,0.963596004264859,0.0180498673992097,53.3852123648869,0,Inf,0.928218914236685,0.998973094293034,0.272693454539502,0.262766323183446,0.272693454539502
17,"CoType","mean(Collaboration) / mean(Service)",2.10884515374524,0.953046124936025,0.0191879726844251,49.6689327533603,0,Inf,0.915438389538214,0.990653860333837,0.275859887193066,0.262907196514641,0.275859887193066
18,"CoType","mean(Collaboration) / mean(Service)",2.24064797585431,0.942659305829891,0.0203204631927302,46.3896564211752,0,Inf,0.902831929822968,0.982486681836814,0.279048980682679,0.263048118422873,0.279048980682679
19,"CoType","mean(Collaboration) / mean(Service)",2.37245079796339,0.93243306238612,0.0214427830186468,43.4847035282347,0,Inf,0.890405979941265,0.974460144830975,0.282260571308462,0.263189088896005,0.282260571308462
20,"CoType","mean(Collaboration) / mean(Service)",2.50425362007247,0.922364947897199,0.0225515936664707,40.9002113792319,0,Inf,0.878164636516935,0.966565259277463,0.285494487320019,0.263330107921866,0.285494487320019
21,"CoType","mean(Collaboration) / mean(Service)",2.63605644218155,0.912452552931965,0.0236444548381626,38.5905515342755,0,Inf,0.866110273015082,0.958794832848847,0.288750548882399,0.263471175488251,0.288750548882399
22,"CoType","mean(Collaboration) / mean(Service)",2.76785926429062,0.902693504767913,0.0247195934310782,36.5173281382946,5.88786370504431e-292,967.445259431491,0.854243991930527,0.951143017605299,0.292028568047241,0.263612291582919,0.292028568047241
23,"CoType","mean(Collaboration) / mean(Service)",2.8996620863997,0.893085466832145,0.0257757342797943,34.6483035997247,4.7376295415837e-263,871.422923563766,0.842565955968673,0.943604977695616,0.295328348729216,0.263753456193599,0.295328348729216
24,"CoType","mean(Collaboration) / mean(Service)",3.03146490850878,0.883626138150826,0.0268119903510739,32.9563798353163,3.42763800207258e-238,788.841671830857,0.831075602708886,0.936176673592766,0.298649686687897,0.263894669307981,0.298649686687897
25,"CoType","mean(Collaboration) / mean(Service)",3.16326773061786,0.87431325280703,0.0278277598995678,31.4187435841937,1.12237772960827e-216,717.369910207493,0.819771845633449,0.928854659980611,0.301992369515186,0.264035930913725,0.301992369515186
26,"CoType","mean(Collaboration) / mean(Service)",3.29507055272693,0.865144579406829,0.0288226646903873,30.0161206016238,6.0464276643562e-198,655.145679763177,0.808653194675196,0.921635964138462,0.3053561766284,0.264177240998454,0.3053561766284
27,"CoType","mean(Collaboration) / mean(Service)",3.42687337483601,0.856117920553516,0.0297965061313984,28.7321579509408,1.51351619907894e-181,600.67108105828,0.797717841670848,0.914517999436184,0.308740879269139,0.264318599549759,0.308740879269139
28,"CoType","mean(Collaboration) / mean(Service)",3.55867619694509,0.847231112329833,0.0307492168141166,27.552933053595,4.08138882262227e-167,552.732931687481,0.786963754821351,0.907498469838315,0.312146240508033,0.264460006555197,0.312146240508033
29,"CoType","mean(Collaboration) / mean(Service)",3.69047901905417,0.83848202378808,0.0316808352210767,26.4665378275839,2.35419049515641e-154,510.341695548311,0.776388727754622,0.900575319821538,0.315572015255467,0.264601462002287,0.315572015255467
30,"CoType","mean(Collaboration) / mean(Service)",3.82228184116324,0.829868556447984,0.0325914904146389,25.4627372326378,5.10199013394522e-143,472.684657459784,0.765990409032809,0.893746703863159,0.319017950278386,0.264742965878519,0.319017950278386
31,"CoType","mean(Collaboration) / mean(Service)",3.95408466327232,0.821388643802217,0.0334813703853016,24.5327068262059,6.61613933618895e-133,439.090447001968,0.75576636369398,0.887010923910454,0.322483784223254,0.264884518171345,0.322483784223254
32,"CoType","mean(Collaboration) / mean(Service)",4.0858874853814,0.81304025082944,0.0343507197492824,23.6687981143809,7.55963797091174e-124,409.000766620221,0.745714077277818,0.880366424381062,0.32596924764526,0.265026118868186,0.32596924764526
33,"CoType","mean(Collaboration) / mean(Service)",4.21769030749048,0.804821373514759,0.0351998229339187,22.8643585800322,1.0518648190729e-115,381.94878160417,0.735830988302092,0.873811758727427,0.329474063043832,0.265167767956425,0.329474063043832
34,"CoType","mean(Collaboration) / mean(Service)",4.34949312959955,0.796730038377486,0.0360290015881883,22.1135752659514,2.3398033500271e-108,357.541846964976,0.726114492865701,0.867345583889272,0.332997944904535,0.265309465423414,0.332997944904535
35,"CoType","mean(Collaboration) / mean(Service)",4.48129595170863,0.788764302006085,0.036838595065806,21.4113567739782,1.04719232311188e-101,335.448211157478,0.716561982436051,0.86096662157612,0.336540599747403,0.26545121125647,0.336540599747403
36,"CoType","mean(Collaboration) / mean(Service)",4.61309877381771,0.7809222506002,0.0376289605574907,20.7532240867266,1.14640089270374e-95,315.386057376158,0.70717084313184,0.85467365806856,0.340101726181762,0.265593005442874,0.340101726181762
37,"CoType","mean(Collaboration) / mean(Service)",4.74490159592678,0.773201999519657,0.038400483534841,20.1352151937911,3.62734065026571e-90,297.114616302034,0.697938434802445,0.848465564236868,0.343681014967577,0.265734847969876,0.343681014967577
38,"CoType","mean(Collaboration) / mean(Service)",4.87670441803586,0.765601692840328,0.0391535480216008,19.5538267034689,3.82708212111821e-85,280.427643206892,0.688862148851031,0.842341236829625,0.347278149083376,0.265876738824688,0.347278149083376
39,"CoType","mean(Collaboration) / mean(Service)",5.00850724014494,0.758119502916765,0.0398885510319391,19.0059423895777,1.52286266053363e-80,265.147461752842,0.679939379498676,0.836299626334853,0.350892803800745,0.266018677994491,0.350892803800745
40,"CoType","mean(Collaboration) / mean(Service)",5.14031006225402,0.750753629951483,0.0406058873088251,18.4887877031644,2.54205186778319e-76,251.120541744185,0.671167553265894,0.830339706637072,0.35452464676545,0.266160665466429,0.35452464676545
41,"CoType","mean(Collaboration) / mean(Service)",5.27211288436309,0.743502301570808,0.0413059749823868,17.9998729454478,1.95266404080978e-72,238.213379079466,0.662544078259017,0.824460524882598,0.358173338085159,0.266302701227615,0.358173338085159
42,"CoType","mean(Collaboration) / mean(Service)",5.40391570647217,0.736363772407176,0.0419892143946716,17.5369742688165,7.48057611136028e-69,226.309889164682,0.654066424454489,0.818661120359863,0.36183853042378,0.266444785265123,0.36183853042378
43,"CoType","mean(Collaboration) / mean(Service)",5.53571852858125,0.729336323687804,0.0426560059218917,17.0980922363736,1.53342207603941e-65,215.308571312693,0.645732088356569,0.812940559019039,0.365519869102409,0.266586917565998,0.365519869102409
44,"CoType","mean(Collaboration) / mean(Service)",5.66752135069033,0.722418262829604,0.0433067616360797,16.6814196106445,1.78916117044528e-62,205.12025852954,0.637538569735827,0.807297955923381,0.369216992206854,0.266729098117247,0.369216992206854
45,"CoType","mean(Collaboration) / mean(Service)",5.7993241727994,0.715607923040286,0.0439418841456928,16.2853263339285,1.25458154140755e-59,195.666551356733,0.629483412701897,0.801732433378676,0.372929530701715,0.266871326905843,0.372929530701715
46,"CoType","mean(Collaboration) / mean(Service)",5.93112699490848,0.708903662925519,0.0445617706978308,15.9083369404804,5.5467403624019e-57,186.878261212707,0.621564197270438,0.7962431285806,0.376657108550983,0.267013603918727,0.376657108550983
47,"CoType","mean(Collaboration) / mean(Service)",6.06292981701756,0.702303866102078,0.0451668163417996,15.549111559854,1.61328239305345e-54,178.69411813031,0.613778532775816,0.79082919942834,0.380399342845099,0.267155929142803,0.380399342845099
48,"CoType","mean(Collaboration) / mean(Service)",6.19473263912664,0.695806940816884,0.0457574215916093,15.2064280856349,3.20563075234397e-52,171.059652679094,0.606124042471914,0.785489839161853,0.384155843934427,0.267298302564942,0.384155843934427
49,"CoType","mean(Collaboration) / mean(Service)",6.32653546123571,0.689411319571839,0.0463339661388431,14.8791777830106,4.49995665389365e-50,163.926493639707,0.598598414678809,0.78022422446487,0.387926215569066,0.267440724171979,0.387926215569066
50,"CoType","mean(Collaboration) / mean(Service)",6.45833828334479,0.683115458754381,0.0468968351924965,14.5663445294424,4.59847259589073e-48,157.251393811741,0.591199350788177,0.775031566720585,0.391710055044926,0.267583193950718,0.391710055044926
51,"CoType","mean(Participation) / mean(Service)",0,1.2673839286481,0.0225165001042972,56.2868972876573,0,Inf,1.22325239938579,1.31151545791042,0.228003526582793,0.288968005266122,0.228003526582793
52,"CoType","mean(Participation) / mean(Service)",0.131802822109077,1.22369577083014,0.0198762814384046,61.5656290952764,0,Inf,1.18473897506429,1.262652566596,0.230815718151194,0.282448218142739,0.230815718151194
53,"CoType","mean(Participation) / mean(Service)",0.263605644218155,1.18132228096029,0.0175580265738259,67.2810395856965,0,Inf,1.14690918123599,1.21573538068458,0.233652097337715,0.276018428578145,0.233652097337715
54,"CoType","mean(Participation) / mean(Service)",0.395408466327232,1.14023516216229,0.0155917830632314,73.1305173717556,0,Inf,1.10967582890359,1.17079449542098,0.236512614030326,0.269679998812296,0.236512614030326
55,"CoType","mean(Participation) / mean(Service)",0.527211288436309,1.10040613902031,0.0140126436841206,78.5295169010336,0,Inf,1.07294186207124,1.12787041596938,0.23939721110065,0.263434160759496,0.23939721110065
56,"CoType","mean(Participation) / mean(Service)",0.659014110545387,1.06180698811764,0.0128532655331797,82.6099006028214,0,Inf,1.03661505058888,1.08699892564641,0.242305824309766,0.257282017513716,0.242305824309766
57,"CoType","mean(Participation) / mean(Service)",0.790816932654464,1.02440956789192,0.0121302662750212,84.45070740132,0,Inf,1.00063468286999,1.04818445291384,0.245238382216938,0.251224545157366,0.245238382216938
58,"CoType","mean(Participation) / mean(Service)",0.922619754763541,0.98818584770809,0.0118293822748261,83.5365553965594,0,Inf,0.965000684490074,1.01137101092611,0.248194806091443,0.245262594854218,0.248194806091443
59,"CoType","mean(Participation) / mean(Service)",1.05442257687262,0.953107936059613,0.0118999656469521,80.093335084856,0,Inf,0.929784431974323,0.976431440144903,0.251175009827651,0.239396895206586,0.251175009827651
60,"CoType","mean(Participation) / mean(Service)",1.1862253989817,0.919148107816874,0.0122652240270293,74.9393656235967,0,Inf,0.895108710461581,0.943187505172167,0.254178899863501,0.233628054856512,0.254178899863501
61,"CoType","mean(Participation) / mean(Service)",1.31802822109077,0.886278830451175,0.0128412313687476,69.0182121169591,0,Inf,0.861110479451283,0.911447181451066,0.257206375102548,0.227956565310472,0.257206375102548
62,"CoType","mean(Participation) / mean(Service)",1.44983104319985,0.85447278917137,0.0135525883904335,63.0486785664149,0,Inf,0.827910204028824,0.881035374313915,0.260257326839718,0.222382803967019,0.260257326839718
63,"CoType","mean(Participation) / mean(Service)",1.58163386530893,0.82370291091915,0.014339370562631,57.4434496494395,0,Inf,0.795598261055419,0.85180756078288,0.263331638690945,0.216907037326841,0.263331638690945
64,"CoType","mean(Participation) / mean(Service)",1.71343668741801,0.79394238717759,0.0151573925085164,52.3798791072739,0,Inf,0.764234443761361,0.82365033059382,0.26642918652682,0.211529424364887,0.26642918652682
65,"CoType","mean(Participation) / mean(Service)",1.84523950952708,0.765164695556037,0.0159755385524351,47.8960188443478,0,Inf,0.733853215359633,0.796476175752441,0.269549838410427,0.206250020044493,0.269549838410427
66,"CoType","mean(Participation) / mean(Service)",1.97704233163616,0.737343620122523,0.0167725060767768,43.9614459966391,0,Inf,0.704470112281562,0.770217127963485,0.272693454539502,0.201068778953873,0.272693454539502
67,"CoType","mean(Participation) / mean(Service)",2.10884515374524,0.71045327046274,0.0175340956531854,40.5183868341491,0,Inf,0.676087074481016,0.744819466444464,0.275859887193066,0.195985559045796,0.275859887193066
68,"CoType","mean(Participation) / mean(Service)",2.24064797585431,0.684468099452024,0.0182511101228981,37.5028200938463,8.2857230264566e-308,1020.10322563031,0.648696580933269,0.720239617970779,0.279048980682679,0.191000125461898,0.279048980682679
69,"CoType","mean(Participation) / mean(Service)",2.37245079796339,0.659362919733912,0.0189178475726236,34.8540137667717,3.70141715575372e-266,881.744795501152,0.622284619826551,0.696441219641273,0.282260571308462,0.18611215442371,0.282260571308462
70,"CoType","mean(Participation) / mean(Service)",2.50425362007247,0.63511291890541,0.0195310590665841,32.5180993380963,5.91692943200577e-232,768.122469324915,0.59683274655498,0.673393091255839,0.285494487320019,0.18132123717322,0.285494487320019
71,"CoType","mean(Participation) / mean(Service)",2.63605644218155,0.611693673415362,0.0200892377325647,30.4488244680288,1.24160350247046e-203,674.039198729757,0.572319490982673,0.651067855848052,0.288750548882399,0.176626883946577,0.288750548882399
72,"CoType","mean(Participation) / mean(Service)",2.76785926429062,0.58908116118803,0.0205920867735347,28.6071619484979,5.47281263514143e-180,595.494774613821,0.548721412745378,0.629440909630681,0.292028568047241,0.172028527965346,0.292028568047241
73,"CoType","mean(Participation) / mean(Service)",2.8996620863997,0.567251772989265,0.0210401768354649,26.9604090034604,4.3070627661794e-160,529.401790834067,0.5260137841634,0.60848976181513,0.295328348729216,0.16752552943064,0.295328348729216
74,"CoType","mean(Participation) / mean(Service)",3.03146490850878,0.546182322557519,0.0214346765639591,25.4812486172937,3.1816003190661e-143,473.365964956957,0.504171128471895,0.588193516643144,0.298649686687897,0.163117179506271,0.298649686687897
75,"CoType","mean(Participation) / mean(Service)",3.16326773061786,0.525850055526215,0.0217771797818952,24.1468390669846,8.05993851289455e-129,425.517955407607,0.483167567468846,0.568532543583583,0.301992369515186,0.158802704278054,0.301992369515186
76,"CoType","mean(Participation) / mean(Service)",3.29507055272693,0.506232657167964,0.0220695765605556,22.9380321719784,1.9400844579236e-116,384.387539548143,0.462977081955226,0.549488232380702,0.3053561766284,0.154581268677245,0.3053561766284
77,"CoType","mean(Participation) / mean(Service)",3.42687337483601,0.487308258994513,0.0223139416008114,21.838735070311,9.94711614531261e-106,348.810099736013,0.443573737103792,0.531042780885233,0.308740879269139,0.150451980357079,0.308740879269139
78,"CoType","mean(Participation) / mean(Service)",3.55867619694509,0.469055444249294,0.0225124802954621,20.8353516846317,2.06989127829475e-96,317.855542117493,0.42493179366752,0.513179094831067,0.312146240508033,0.146413893512242,0.312146240508033
79,"CoType","mean(Participation) / mean(Service)",3.69047901905417,0.451453252332045,0.0226674658966899,19.9163529963872,2.93612883505953e-88,290.775757076177,0.407025835553743,0.495880669110347,0.315572015255467,0.142466012632058,0.315572015255467
80,"CoType","mean(Participation) / mean(Service)",3.82228184116324,0.434481182197115,0.0227811966501681,19.0719209736469,4.32135337334311e-81,266.964692475517,0.389830857238061,0.479131507156169,0.319017950278386,0.138607296179054,0.319017950278386
81,"CoType","mean(Participation) / mean(Service)",3.95408466327232,0.418119194768825,0.0228559769825928,18.2936478754449,9.29795337238394e-75,245.927693925541,0.373322303051466,0.462916086486183,0.322483784223254,0.13483666018543,0.322483784223254
82,"CoType","mean(Participation) / mean(Service)",4.0858874853814,0.402347714418657,0.0228940868759549,17.5743071387238,3.87596395122855e-69,227.258483394335,0.357476128682854,0.44721930015446,0.32596924764526,0.131152981760839,0.32596924764526
83,"CoType","mean(Participation) / mean(Service)",4.21769030749048,0.387147629550111,0.0228977683187584,16.9076577315594,3.95102463015117e-64,210.621171232883,0.342268828319002,0.432026430781219,0.329474063043832,0.127555102505663,0.329474063043832
84,"CoType","mean(Participation) / mean(Service)",4.34949312959955,0.372500292337733,0.0228692126623402,16.2882866952017,1.19531151511612e-59,195.736370944378,0.327677459164759,0.417323125510707,0.332997944904535,0.124041831824804,0.332997944904535
85,"CoType","mean(Participation) / mean(Service)",4.48129595170863,0.358387517667293,0.0228105506246505,15.7114803392776,1.26197639112255e-55,182.370360297969,0.31367965997545,0.403095375359135,0.336540599747403,0.120611950137734,0.336540599747403
86,"CoType","mean(Participation) / mean(Service)",4.61309877381771,0.344791581324167,0.0227238408091806,15.1731207862039,5.32819950318526e-52,170.326612832051,0.300253671747752,0.389329490900583,0.340101726181762,0.117264211981289,0.340101726181762
87,"CoType","mean(Participation) / mean(Service)",4.74490159592678,0.331695217476894,0.022611085743877,14.6695838153953,1.00962412220935e-48,159.438730269493,0.287378303767548,0.37601213118624,0.343681014967577,0.11399734900235,0.343681014967577
88,"CoType","mean(Participation) / mean(Service)",4.87670441803586,0.319081615502477,0.0224741893081354,14.1976919001467,9.46797448605671e-46,149.565636546461,0.275033013876797,0.363130217128158,0.347278149083376,0.110810072838234,0.347278149083376
89,"CoType","mean(Participation) / mean(Service)",5.00850724014494,0.306934416199464,0.0223149991691423,13.754623689339,4.77760121521536e-43,140.586621642612,0.263197821512904,0.350671010886024,0.350892803800745,0.107701077883175,0.350892803800745
90,"CoType","mean(Participation) / mean(Service)",5.14031006225402,0.29523770743403,0.0221352708856722,13.3378854480219,1.3935653522958e-40,132.398343135197,0.251853373710075,0.338622041157986,0.35452464676545,0.104669043939891,0.35452464676545
91,"CoType","mean(Participation) / mean(Service)",5.27211288436309,0.283976019263409,0.0219366955235851,12.9452505259096,2.49946526925619e-38,124.911648125196,0.240980886097361,0.326971152429456,0.358173338085159,0.10171263875571,0.358173338085159
92,"CoType","mean(Participation) / mean(Service)",5.40391570647217,0.273134318579881,0.0217208753117275,12.574738110688,2.90762233832002e-36,118.049571521521,0.23056218525621,0.315706451903553,0.36183853042378,0.0988305204432448,0.36183853042378
93,"CoType","mean(Participation) / mean(Service)",5.53571852858125,0.262698003317374,0.0214893395984949,12.2245731244237,2.29785580955669e-34,111.745266954454,0.220579671652774,0.304816334981975,0.365519869102409,0.0960213397860307,0.365519869102409
94,"CoType","mean(Participation) / mean(Service)",5.66752135069033,0.252652896261357,0.0212435400002319,11.8931635809568,1.28447352940402e-32,105.940521877096,0.211016322956767,0.294289469565948,0.369216992206854,0.0932837424299686,0.369216992206854
95,"CoType","mean(Participation) / mean(Service)",5.7993241727994,0.242985238501367,0.0209848585468218,11.579074405444,5.26110271420507e-31,100.58440572496,0.201855671528929,0.284114805473806,0.372929530701715,0.0906163709617593,0.372929530701715
96,"CoType","mean(Participation) / mean(Service)",5.93112699490848,0.233681682563964,0.0207146027919574,11.2810119948181,1.62861573984047e-29,95.6322685012287,0.193081807137675,0.274281557990254,0.376657108550983,0.0880178668758716,0.376657108550983
97,"CoType","mean(Participation) / mean(Service)",6.06292981701756,0.224729285262411,0.020434005055914,10.9978090270351,3.91529245100177e-28,91.0448665838504,0.184679371292911,0.264779199231912,0.380399342845099,0.0854868724318701,0.380399342845099
98,"CoType","mean(Participation) / mean(Service)",6.19473263912664,0.216115500297775,0.0201442381696137,10.7284027560681,7.48792340962041e-27,86.7874928835981,0.176633518989335,0.255597481606215,0.384155843934427,0.0830220324042027,0.384155843934427
99,"CoType","mean(Participation) / mean(Service)",6.32653546123571,0.207828170644532,0.0198464008077499,10.4718317773456,1.16369067705794e-25,82.8294947486284,0.168929939838595,0.246726401450468,0.387926215569066,0.0806219957267752,0.387926215569066
100,"CoType","mean(Participation) / mean(Service)",6.45833828334479,0.199855520752123,0.0195415324190627,10.2272184425601,1.49759055487042e-24,79.143631036144,0.161554821008038,0.238156220496208,0.391710055044926,0.0782854170348464,0.391710055044926
